dsb_id,x,y,z,complexity,i_energy,j_energy,k_energy,E_local,E_total_3x3x3,E_mean_3x3x3,E_max_3x3x3,E_std_3x3x3,n_active_3x3x3,grad_x,grad_y,grad_z,grad_mag,core_frac,is_local_max,run_id,particle,dataset_type,E_mean,E_std,E_zscore,f_direct,delta_f_used,p2_local,p3_local,P_DSB_21p000,P_DSB_2p100,P_DSB_0p210,P_DSB_0p021,P_DSB_0p001
23,0.002154,-0.060356,-2.346719,DSB+,30,29,22,0.9099437594413757,10.977679406059906,0.4065807187429595,0.9941391944885254,0.4435992913402821,27,-0.3824109900742769,0.48494952404871583,0.012503951787948608,0.6177139750847314,0.08289035649364884,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,0.34565954768767054,0.4181555802091018,0.08753,0.0,0.5818444197908982,1.0,0.914999473130856,0.6606575116787661,0.5474058204935676,0.5321904519702477
24,-0.000677,-0.040378,-2.218648,DSB,29,29,22,0.7815141677856445,10.954536237521097,0.40572356435263324,0.9941391944885254,0.4443638133737898,27,0.44201803859323263,0.46208025235682726,-0.008780598640441895,0.6395116926002543,0.07134160231345604,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,-0.15092795589620897,0.37468927602040486,0.08753,0.0,0.6253107239795952,1.0,0.9085702363082537,0.6349904564057208,0.5131726778089611,0.49680645515352295
25,0.005003,-0.0439,-3.850746,DSB,30,29,17,0.9107253551483154,10.90945899183862,0.40405403673476364,0.9857341051101685,0.44186789566869555,27,-0.382617132156156,0.47577783465385437,-0.006931394338607788,0.6105804304060105,0.08348034085187421,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,0.3486816756561335,0.4184201070701814,0.08753,0.0,0.5815798929298186,1.0,0.9150385659704412,0.660813579669743,0.5476139743992952,0.5324056036203755
26,0.552597,0.939936,2.635995,DSB,31,33,38,0.009540054015815258,0.08072279146290384,0.0029897330171445866,0.009540054015815258,0.0029866464209231877,25,0.0007295079703908414,-0.0037840666773263365,0.0006110990943852812,0.003901895001210803,0.1181829052589343,True,,carbon,calibration,0.8205478035603921,0.2586242922523279,-3.1358529490080294,0.11341879137332722,0.08753,0.0,0.8865812086266728,1.0,0.8696883868866617,0.4797647887628984,0.30614221123609814,0.282816012100414
27,-0.547592,-0.559593,2.21221,DSB+,28,28,37,0.01496780477464199,2.5350937204202637,0.09389236001556532,0.7896878123283386,0.24234004041983942,27,0.012275184504687788,0.006962826824747026,-0.0021764058619737616,0.014279280601332047,0.005904241193952682,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,-3.114865938423845,0.11525578440976092,0.08753,0.0,0.8847442155902391,1.0,0.8699631895448353,0.48086186687825455,0.3076054266793822,0.28432841810603116
28,0.841088,-0.363321,1.203242,DSB,32,28,33,0.00343828578479588,0.18172033701557666,0.006730382852428766,0.02292474173009396,0.005567825507298607,27,-0.003689902718178928,-0.0011938002426177263,-0.0008800234645605083,0.00397680555057391,0.018920753952169023,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,-3.1594461241807084,0.11135368075046265,0.08753,0.0,0.8886463192495373,1.0,0.8693794350546756,0.47853137895593356,0.3044971649516199,0.2811156624413243
29,0.050935,-0.012202,-2.627048,DSB+,30,29,21,0.8986477851867676,11.027546288445592,0.4084276403127997,0.9965833425521851,0.44366105444826104,27,-0.37643598672002554,0.4902598415501416,-0.00639420747756958,0.6181420954957811,0.08149118232478139,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,0.301982388994522,0.4143325185086905,0.08753,0.0,0.5856674814913094,1.0,0.9144344396495347,0.6584017625134523,0.5443972407318695,0.5290807293925816
30,0.050129,-0.012371,-2.623876,DSB,30,29,21,0.8986477851867676,11.027546288445592,0.4084276403127997,0.9965833425521851,0.44366105444826104,27,-0.37643598672002554,0.4902598415501416,-0.00639420747756958,0.6181420954957811,0.08149118232478139,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,0.301982388994522,0.4143325185086905,0.08753,0.0,0.5856674814913094,1.0,0.9144344396495347,0.6584017625134523,0.5443972407318695,0.5290807293925816
31,0.051657,-0.011776,-4.385474,DSB,30,29,15,0.9002728462219238,10.841460331110284,0.4015355678188994,0.960940420627594,0.4405794550169422,27,-0.3991426667198539,0.4754514847882092,0.006601005792617798,0.6208160404347034,0.08303981370834781,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,0.3082658708012919,0.41488251167123713,0.08753,0.0,0.5851174883287629,1.0,0.9145157317867582,0.6587263002209512,0.5448300892035449,0.5295281294190705
32,-1.209154,-0.71695,-0.042363,DSB,26,27,29,0.001924696029163897,0.062263744621304795,0.0023060646156038813,0.006122039631009102,0.0019986220438900798,23,0.000870576564921066,0.0024485622416250408,0.002752668922767043,0.003785570869085544,0.030911986435110932,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,-3.1652985897107264,0.11084141444262013,0.08753,0.0,0.8891585855573798,1.0,0.869302793249055,0.478225406487448,0.3040890776560653,0.28069385601531527
33,-0.094422,-0.04428,0.700055,DSB+,29,29,32,0.7890456914901733,11.02610698225908,0.4083743326762622,0.9848716259002686,0.4434577892946096,27,0.46003642585128546,0.45119320694357157,-0.016371041536331177,0.6445749251274316,0.07156158495103214,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,-0.12180646990223033,0.3772382796894578,0.08753,0.0,0.6227617203105422,1.0,0.908947575599376,0.636496885350425,0.5151818602593702,0.49888318255434844
34,-0.096458,-0.053475,2.461468,DSB,29,29,37,0.7800184488296509,10.80326976487413,0.40012110240274557,0.9503547549247742,0.43352641184050694,27,0.42943579657003284,0.44962591025978327,0.011117100715637207,0.621853803141059,0.07220207083652944,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,-0.15671132196351695,0.3741830579885334,0.08753,0.0,0.6258169420114665,1.0,0.9084952942376778,0.6346912696871682,0.5127736409301061,0.49639400340226997
35,-0.085846,-0.028675,1.148866,DSB,29,29,33,0.7492260336875916,10.94962493586354,0.4055416642912422,0.9848716259002686,0.44133457159404155,27,0.44598617078736424,0.4563781823962927,-0.023371100425720215,0.6385381102456054,0.06842481254618751,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,-0.2757736686359501,0.3637615307842953,0.08753,0.0,0.6362384692157047,1.0,0.9069521224685613,0.6285305578971667,0.5045568617358317,0.48790099148301436
36,-0.093417,-0.044081,-0.960818,DSB+,29,29,26,0.7575131058692932,10.879091947805136,0.4029293314001902,0.9778283834457397,0.4412851238092073,27,0.4449666109867394,0.44608805095776916,0.01843804121017456,0.6303410152163618,0.06963017773023349,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,-0.24373076922564896,0.36656624576967894,0.08753,0.0,0.633433754230321,1.0,0.90736749496037,0.6301888245002383,0.5067685559340237,0.49018703869724173
37,-0.094435,-0.044535,0.107637,DSB+,29,29,30,0.8041937947273254,11.067540274816565,0.4099088990672802,1.016220569610596,0.4457916991765973,27,0.45365469669923186,0.46896232571452856,0.004260212182998657,0.6524924491399849,0.07266237797725851,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,-0.06323461996025818,0.3823650737148786,0.08753,0.0,0.6176349262851214,1.0,0.9097063992239848,0.6395262912430273,0.5192222958710062,0.5030594500427727
38,-0.101309,-0.090232,-2.39001,DSB,29,29,22,0.7815141677856445,10.954536237521097,0.40572356435263324,0.9941391944885254,0.4443638133737898,27,0.44201803859323263,0.46208025235682726,-0.008780598640441895,0.6395116926002543,0.07134160231345604,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,-0.15092795589620897,0.37468927602040486,0.08753,0.0,0.6253107239795952,1.0,0.9085702363082537,0.6349904564057208,0.5131726778089611,0.49680645515352295
39,-2.237265,1.316135,-3.448674,DSB,22,34,18,0.001561405719257891,0.019578451130655594,0.0007251278196539109,0.004734284710139036,0.001055108489700329,18,0.000811273290310055,-0.0005906769074499605,-0.0001888313563540578,0.001021137033755835,0.07975123817293792,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,-3.166703292674791,0.11071846079217557,0.08753,0.0,0.8892815392078244,1.0,0.8692843975242962,0.47815196634249746,0.3039911276990435,0.28059261316421663
40,-2.24066,1.312414,-3.446918,DSB,22,34,18,0.001561405719257891,0.019578451130655594,0.0007251278196539109,0.004734284710139036,0.001055108489700329,18,0.000811273290310055,-0.0005906769074499605,-0.0001888313563540578,0.001021137033755835,0.07975123817293792,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,-3.166703292674791,0.11071846079217557,0.08753,0.0,0.8892815392078244,1.0,0.8692843975242962,0.47815196634249746,0.3039911276990435,0.28059261316421663
41,-0.106029,0.029986,2.284224,DSB,29,30,37,0.9252246618270874,10.774094860069454,0.3990405503729427,0.9503547549247742,0.4344889745087062,27,0.47242110036313534,-0.3867114116437733,0.008479088544845581,0.6105729333227824,0.08587493184750344,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,0.40474488051790136,0.4233273193917319,0.08753,0.0,0.576672680608268,1.0,0.9157636986135287,0.6637084830842487,0.5514750188624284,0.5363964491659168
42,-0.105569,0.035161,1.472091,DSB,29,30,34,0.9463326930999756,10.826622444670647,0.4009860164692832,0.9817193150520325,0.43729350093957076,27,0.4682686598971486,-0.36250012274831533,-0.006059139966964722,0.5922149863111827,0.08740793335466462,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,0.48636146451726536,0.43047121898919627,0.08753,0.0,0.5695287810108037,1.0,0.9168190898660569,0.667921858071168,0.557094559771059,0.5422049085134675
43,-0.105336,0.030445,1.733653,DSB,29,30,35,0.9144232869148254,10.76983411051333,0.398882744833827,0.9581525325775146,0.43432634815771437,27,0.4752999919001013,-0.3656211160123348,-0.011194199323654175,0.5997617801034335,0.08490597696598651,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,0.3629801459750087,0.41967165217719254,0.08753,0.0,0.5803283478228074,1.0,0.9152235187245708,0.6615519554201051,0.5485987746480229,0.5334235110087543
44,-0.105864,0.030783,-0.340312,DSB,29,30,28,0.9083211421966553,11.015122763812542,0.4079675097708349,0.9778283834457397,0.44049035504745765,27,0.4586499612778425,-0.409606225322932,-0.01374700665473938,0.6150821302845925,0.08246128179166891,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,0.3393855150722914,0.4176064141342777,0.08753,0.0,0.5823935858657223,1.0,0.9149183138493994,0.6603335043633503,0.5469736794262932,0.5317437831297708
45,-0.136034,0.031416,-1.155856,DSB,29,30,26,0.902580976486206,10.938741706311703,0.40513858171524825,0.9778283834457397,0.4393266594243243,27,0.482234220020473,-0.37303373496979475,0.020419597625732422,0.6100171885705072,0.08251232186653884,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,0.31719051683581945,0.4156636859386393,0.08753,0.0,0.5843363140613607,1.0,0.9146311907462188,0.659187240076803,0.5454448624872946,0.5301635702290368
46,-0.106346,0.03015,-2.194634,DSB+,29,30,22,0.9359843134880066,10.990233574528247,0.4070456879454906,0.9941391944885254,0.4431946361188223,27,0.4868175471201539,-0.380900751799345,0.0008519589900970459,0.6181241240556061,0.08516509746046033,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,0.44634828740290305,0.42696886559637615,0.08753,0.0,0.5730311344036239,1.0,0.916301713544748,0.6658563677178929,0.554339735533329,0.5393574722451547
