dsb_id,event_id,x_um,y_um,z_um,complexity,n_backbone_breaks,n_base_damage,has_base_damage_in_cluster,cause,direct_fraction,indirect_fraction,chromosome,chromosome_position
73,12,-0.021085,-0.044021,-2.552287,DSB,2,0,0,DIRECT,1.0,0.0,18,0.405647065552
74,13,0.004684,-0.005244,1.183868,DSB,2,0,0,DIRECT,1.0,0.0,13,0.903589789042
75,13,0.005085,-0.005269,-1.031489,DSB+,3,0,0,MIXED,1.0,0.0,16,0.850945375788
76,13,0.432879,0.708229,3.510766,DSB,2,0,0,DIRECT,1.0,0.0,17,0.476954190136
77,13,0.00562,-0.005563,-2.92307,DSB,2,1,1,DIRECT,1.0,0.0,18,0.607094670372
78,13,0.006097,-0.005279,-3.214111,DSB,2,1,1,DIRECT,1.0,0.0,18,0.622174709652
79,13,0.005442,-0.005532,-3.45293,DSB,2,0,0,DIRECT,1.0,0.0,18,0.700595398509
80,14,-0.027886,-0.061722,3.267062,DSB,2,0,0,DIRECT,1.0,0.0,13,0.263429019515
81,14,-0.020248,-0.071832,-1.762034,DSB+,4,1,1,DIRECT,1.0,0.0,15,0.627451586677
82,14,-0.02709,-0.061903,-1.727834,DSB,2,0,0,DIRECT,1.0,0.0,15,0.627487677339
83,14,-0.026846,-0.061928,0.140347,DSB,2,0,0,DIRECT,1.0,0.0,16,0.493660212003
84,14,-0.028044,-0.062179,-0.620745,DSB,2,0,0,DIRECT,1.0,0.0,16,0.764833530228
85,14,-0.027568,-0.061218,-3.001431,DSB,2,0,0,DIRECT,1.0,0.0,18,0.307356583503
86,15,0.017349,-0.027011,3.516833,DSB+,4,0,0,DIRECT,1.0,0.0,13,0.2595639342
87,15,0.019318,-0.027544,-3.77618,DSB,2,1,1,DIRECT,1.0,0.0,18,0.715256361435
88,16,0.03142,-0.081968,1.936895,DSB,2,0,0,DIRECT,1.0,0.0,13,0.429702157832
89,16,0.032336,-0.082258,-0.582051,DSB,2,0,0,DIRECT,1.0,0.0,16,0.765105794062
90,16,0.386549,-0.004927,3.974063,DSB+,3,0,0,DIRECT,1.0,0.0,17,0.023523569601
91,16,0.085957,-0.096853,-3.806896,DSB+,4,1,1,DIRECT,1.0,0.0,18,0.713806162104
92,16,0.091515,-0.103662,-3.823225,DSB+,3,1,1,DIRECT,1.0,0.0,18,0.713800087321
93,16,0.032285,-0.082123,-4.341469,DSB,2,1,1,DIRECT,1.0,0.0,18,0.791810236603
94,16,0.03234,-0.08283,-2.47477,DSB,2,1,1,DIRECT,1.0,0.0,18,0.404516353791
95,16,0.032273,-0.082341,-1.918998,DSB,2,2,1,DIRECT,1.0,0.0,22,0.003679627883
96,17,-1.25441,-2.09336,1.26587,DSB,2,1,1,DIRECT,1.0,0.0,2,0.835566281101
97,17,-0.081962,0.107726,4.056905,DSB,2,1,1,DIRECT,1.0,0.0,13,0.193478149008
98,17,-0.079557,0.101676,4.061143,DSB,2,0,0,DIRECT,1.0,0.0,13,0.193477927427
99,17,-0.07826,0.099796,-0.47292,DSB,2,0,0,DIRECT,1.0,0.0,16,0.765614760137
100,17,-0.075906,0.099529,-2.645914,DSB+,3,2,1,DIRECT,1.0,0.0,18,0.521278612857
101,17,-0.078045,0.099495,-1.678893,DSB,2,0,0,DIRECT,1.0,0.0,22,0.006029963446
102,18,0.059826,-0.019758,3.406221,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.258822830996
103,18,0.080999,-0.018915,3.433117,DSB,2,0,0,DIRECT,1.0,0.0,13,0.258848848331
104,18,0.110668,-0.003445,2.571192,DSB,2,0,0,DIRECT,1.0,0.0,13,0.479233470344
105,18,0.080258,-0.018777,-0.43333,DSB+,3,0,0,DIRECT,1.0,0.0,16,0.764455425453
106,18,0.081713,-0.018517,-0.811978,DSB,2,2,1,DIRECT,1.0,0.0,16,0.797808816596
107,18,0.081007,-0.019004,-0.428633,DSB,2,0,0,DIRECT,1.0,0.0,16,0.764455191055
108,19,0.126449,0.022103,0.97405,DSB+,3,2,1,DIRECT,1.0,0.0,13,0.91626489057
109,19,0.127006,0.022338,0.802001,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.915821592603
110,19,0.126823,0.021901,-0.565344,DSB+,3,1,1,DIRECT,1.0,0.0,16,0.764531698706
111,19,0.129287,0.025799,-0.557928,DSB,2,0,0,DIRECT,1.0,0.0,16,0.764531142846
112,19,0.127009,0.021464,3.798427,DSB,2,0,0,DIRECT,1.0,0.0,17,0.017854827326
113,19,0.126763,0.022572,-4.35664,DSB,2,1,1,DIRECT,1.0,0.0,18,0.875962438171
114,20,0.013206,0.058023,0.915031,DSB+,3,2,1,DIRECT,1.0,0.0,13,0.917981893117
115,20,0.013407,0.058637,1.16558,DSB+,3,1,1,DIRECT,1.0,0.0,13,0.903645947586
116,20,0.013742,0.05868,3.704019,DSB,2,0,0,DIRECT,1.0,0.0,13,0.196162015306
117,20,0.013705,0.058859,-0.390785,DSB,2,0,0,DIRECT,1.0,0.0,16,0.765850082776
118,20,0.013746,0.05866,4.161745,DSB,2,0,0,DIRECT,1.0,0.0,17,0.037106213157
119,20,0.015056,0.058057,4.180225,DSB,2,0,0,DIRECT,1.0,0.0,17,0.037108828592
120,20,-0.080758,-0.010416,-3.595466,DSB+,4,1,1,DIRECT,1.0,0.0,18,0.701696552369
121,20,-0.076619,-0.00604,-3.594727,DSB,2,1,1,DIRECT,1.0,0.0,18,0.701696712782
122,21,0.0480647,0.0212834,3.11738,DSB+,3,1,1,DIRECT,1.0,0.0,13,0.263342652057
123,21,0.047964,0.011362,3.420922,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.25947034073
124,21,0.048913,0.011447,1.773023,DSB,2,1,1,DIRECT,1.0,0.0,13,0.430434053103
125,21,0.047965,0.011907,3.171815,DSB,2,0,0,DIRECT,1.0,0.0,13,0.262762170659
126,21,0.047941,0.012393,3.18994,DSB,2,0,0,DIRECT,1.0,0.0,13,0.262773052762
127,21,0.047814,0.011972,1.786597,DSB,2,0,0,DIRECT,1.0,0.0,13,0.430431498763
