dsb_id,event_id,x_um,y_um,z_um,complexity,n_backbone_breaks,n_base_damage,has_base_damage_in_cluster,cause,direct_fraction,indirect_fraction,chromosome,chromosome_position
465,137672,2.52999,-1.16859,2.68947,DSB,2,2,1,DIRECT,1.0,0.0,7,0.585761704308
466,137763,-1.77142,2.79824,0.163303,DSB+,3,2,1,DIRECT,1.0,0.0,31,0.742754079146
467,137763,-1.753312,2.801271,0.159752,DSB+,3,0,0,DIRECT,1.0,0.0,31,0.742777157222
468,138039,-1.590939,0.828759,-3.757082,DSB,2,1,1,DIRECT,1.0,0.0,22,0.522589551283
469,138091,1.51007,-1.39929,-1.47561,DSB,2,0,0,DIRECT,1.0,0.0,9,0.499412374724
470,138121,1.10795,-2.44175,-0.223609,DSB,2,0,0,DIRECT,1.0,0.0,5,0.927271410242
471,138133,-2.26931,-0.873345,3.89887,DSB,2,1,1,DIRECT,1.0,0.0,4,0.889633401435
472,138133,-2.270886,-0.845452,3.890736,DSB,2,0,0,DIRECT,1.0,0.0,4,0.889629714253
473,138223,-0.675082,2.21243,-0.0306543,DSB+,3,0,0,DIRECT,1.0,0.0,31,0.18850939867
474,138429,-4.03831,-0.020355,-0.0260587,DSB,2,1,1,DIRECT,1.0,0.0,12,0.366572217034
475,139311,-1.750823,2.019282,-2.417238,DSB,2,0,0,DIRECT,1.0,0.0,33,0.220156796859
476,139910,4.44078,-0.0678718,-0.359555,DSB,2,0,0,DIRECT,1.0,0.0,21,0.308418322652
477,140794,-1.65339,-1.61583,-3.31681,DSB,2,0,0,DIRECT,1.0,0.0,8,0.89822808993
478,140820,-2.37214,-1.16817,-2.18405,DSB+,3,0,0,DIRECT,1.0,0.0,8,0.772148159966
479,140898,1.952041,-2.639445,2.385598,DSB,2,1,1,DIRECT,1.0,0.0,6,0.005197691435
480,142003,1.45148,-2.41781,-2.68155,DSB,2,1,1,DIRECT,1.0,0.0,9,0.248992366635
481,142362,-2.161538,1.829288,-0.020442,DSB,2,0,0,DIRECT,1.0,0.0,26,0.845644884488
482,143311,-1.08151,1.79473,1.56052,DSB+,3,1,1,DIRECT,1.0,0.0,25,0.872703613218
483,143316,-2.393806,2.174265,-0.301802,DSB,2,0,0,DIRECT,1.0,0.0,27,0.479712768152
484,144845,-2.8742,0.583732,-2.85859,DSB,2,0,0,DIRECT,1.0,0.0,19,0.379972723828
485,144850,2.12518,3.79535,-1.07034,DSB,2,0,0,DIRECT,1.0,0.0,46,0.739367249249
486,144923,0.266726,2.50029,-0.0787299,DSB,2,0,0,DIRECT,1.0,0.0,31,0.859215653875
487,145040,-2.85759,-2.13017,0.803509,DSB,2,0,0,DIRECT,1.0,0.0,3,0.687281575777
488,145042,2.26619,0.20614,-3.36996,DSB++,5,0,0,DIRECT,1.0,0.0,21,0.829629658733
489,145109,-1.92241,2.89934,-0.0114795,DSB,2,0,0,DIRECT,1.0,0.0,31,0.745944008954
490,145756,-2.14691,0.938998,3.44172,DSB,2,1,1,DIRECT,1.0,0.0,20,0.124087896958
491,145908,2.08292,1.86892,3.68219,DSB,2,0,0,DIRECT,1.0,0.0,29,0.119116538277
492,145910,-4.18322,-1.22279,-0.990365,DSB,2,0,0,DIRECT,1.0,0.0,4,0.942552351938
