dsb_id,event_id,x_um,y_um,z_um,complexity,n_backbone_breaks,n_base_damage,has_base_damage_in_cluster,cause,direct_fraction,indirect_fraction,chromosome,chromosome_position
248,380,0.001228,-0.018812,-2.481607,DSB+,3,0,0,DIRECT,1.0,0.0,18,0.404640004575
249,380,-0.001849,-0.021291,-2.484407,DSB,2,0,0,DIRECT,1.0,0.0,18,0.404639718621
250,381,0.357766,0.530884,-0.613465,DSB,2,0,0,DIRECT,1.0,0.0,23,0.259218200145
251,383,0.045456,0.049277,2.090992,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.473552680333
252,383,0.045825,0.04815,-1.454285,DSB,2,0,0,DIRECT,1.0,0.0,23,0.003379431539
253,387,-0.0241219,0.0797658,3.70354,DSB+,3,1,1,DIRECT,1.0,0.0,13,0.196797842783
254,387,-0.007361,0.353587,-0.330715,DSB,2,1,1,DIRECT,1.0,0.0,23,0.083727872787
255,388,0.223926,0.210682,3.066994,DSB+,3,1,1,DIRECT,1.0,0.0,17,0.088057673477
256,393,-0.950194,0.917314,-1.835438,DSB+,3,0,0,DIRECT,1.0,0.0,23,0.374652962833
257,394,-0.0316327,0.0217582,2.6191,DSB,2,0,0,DIRECT,1.0,0.0,13,0.55391530425
258,394,-0.031264,0.022898,-3.041127,DSB,2,0,0,DIRECT,1.0,0.0,18,0.622605105608
259,396,0.0200575,0.0257181,2.19049,DSB,2,0,0,DIRECT,1.0,0.0,13,0.473688885114
260,398,0.042578,-0.080662,-3.210363,DSB,2,0,0,DIRECT,1.0,0.0,18,0.621863884402
261,402,0.080279,0.071212,-3.186642,DSB,2,3,1,DIRECT,1.0,0.0,18,0.623233298182
262,404,0.065011,0.025618,0.999733,DSB,2,1,1,DIRECT,1.0,0.0,13,0.903839394197
263,405,-0.0644802,-0.0661484,3.52583,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.25997744795
264,405,-0.077058,-0.066017,0.846262,DSB,2,0,0,DIRECT,1.0,0.0,13,0.916456281398
265,408,-0.076522,0.151302,2.625143,DSB,2,0,0,DIRECT,1.0,0.0,13,0.55445289736
266,413,-0.033956,0.063127,0.933382,DSB,2,0,0,DIRECT,1.0,0.0,13,0.918786639388
267,413,0.024342,0.04902,-3.779308,DSB,2,0,0,DIRECT,1.0,0.0,18,0.7153225145
268,416,0.038961,-0.018514,-3.399011,DSB+,4,0,0,DIRECT,1.0,0.0,18,0.698281331514
269,419,0.0804572,-0.0796976,4.13137,DSB+,4,0,0,DIRECT,1.0,0.0,7,0.808800917588
270,423,0.085364,0.000119,3.69556,DSB,2,0,0,DIRECT,1.0,0.0,17,0.019895445377
271,425,-0.10909,0.038084,-3.691852,DSB,2,0,0,DIRECT,1.0,0.0,18,0.711819687041
272,426,-0.051725,0.068331,-3.228655,DSB+,3,0,0,DIRECT,1.0,0.0,18,0.622091992166
273,427,0.061328,-0.0083,-3.800057,DSB,2,0,0,DIRECT,1.0,0.0,18,0.715216634723
274,428,0.022039,-0.097988,0.878346,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.916620651621
275,430,0.013062,-0.002238,1.184722,DSB,2,0,0,DIRECT,1.0,0.0,13,0.903589339725
276,438,0.00568398,0.0827893,2.41787,DSB,2,1,1,DIRECT,1.0,0.0,13,0.480787333676
277,438,-0.044246,-0.031449,-3.979963,DSB,2,0,0,DIRECT,1.0,0.0,18,0.782839141691
278,443,0.0341582,-0.000659579,0.650582,DSB,2,0,0,DIRECT,1.0,0.0,13,0.994517291341
279,444,0.010917,-0.006539,-2.332636,DSB,2,1,1,DIRECT,1.0,0.0,18,0.403919114016
280,446,-0.0924791,-0.0578154,4.2268,DSB,2,1,1,DIRECT,1.0,0.0,7,0.809103531363
281,448,-0.00772,-0.020958,-0.413343,DSB,2,0,0,DIRECT,1.0,0.0,16,0.765506856489
282,450,-0.020686,0.083384,-4.40073,DSB,2,0,0,DIRECT,1.0,0.0,18,0.875788780273
283,454,0.050955,-0.01287,2.040659,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.473502455244
284,458,0.017782,-0.067682,-1.197415,DSB,2,0,0,DIRECT,1.0,0.0,16,0.851536508562
285,459,-0.009512,-0.077677,3.380916,DSB,2,0,0,DIRECT,1.0,0.0,13,0.260166826082
286,460,0.075561,-0.054434,-0.438097,DSB,2,0,0,DIRECT,1.0,0.0,16,0.764422321696
287,460,-1.062621,0.286615,-1.952813,DSB,2,2,1,DIRECT,1.0,0.0,19,0.414027588561
288,465,-0.006204,-0.048933,-2.450319,DSB,2,0,0,DIRECT,1.0,0.0,18,0.404596616255
289,469,-0.199843,-0.0540681,0.639049,DSB+,3,1,1,DIRECT,1.0,0.0,13,0.919468721956
290,472,-0.013572,0.095863,-0.368799,DSB,2,0,0,DIRECT,1.0,0.0,16,0.766749496378
291,473,-0.110867,0.0475169,1.34101,DSB,2,0,0,DIRECT,1.0,0.0,13,0.828508173272
292,473,-0.108395,0.048333,-0.707449,DSB,2,2,1,DIRECT,1.0,0.0,16,0.798214131681
293,474,0.03608,-0.004641,-0.411407,DSB,2,0,0,DIRECT,1.0,0.0,16,0.765333435129
294,474,0.033309,-0.004501,-3.652503,DSB+,3,1,1,DIRECT,1.0,0.0,18,0.714554071848
295,475,0.04225,-0.118958,-0.580239,DSB,2,0,0,DIRECT,1.0,0.0,16,0.764782672464
296,475,0.055909,-0.125568,-3.305871,DSB,2,0,0,DIRECT,1.0,0.0,18,0.224499412748
297,475,0.04386,-0.120675,-2.24028,DSB,2,0,0,DIRECT,1.0,0.0,18,0.423727957115
298,476,-0.0705681,-0.117714,1.43535,DSB,2,1,1,DIRECT,1.0,0.0,13,0.418084983806
299,477,0.0593141,-0.0277635,4.45246,DSB,2,0,0,DIRECT,1.0,0.0,7,0.845176077261
300,477,0.06075,-0.035846,3.358726,DSB+,3,1,1,DIRECT,1.0,0.0,13,0.259409965987
301,481,-0.15452,-2.309487,-0.98872,DSB+,3,2,1,DIRECT,1.0,0.0,5,0.898833886656
302,481,-0.094078,-0.172384,0.096646,DSB,2,0,0,DIRECT,1.0,0.0,16,0.495252648033
303,482,0.995008,1.173026,0.699222,DSB+,3,0,0,DIRECT,1.0,0.0,23,0.59805137903
